timestamp,stock_id,deal_volume,deal_amount,open_price,high_price,low_price,close_price,price_diff,trade_count,estimated_day_volume,pct_of_yesterday_avg,total_in_volume,total_out_volume,buy_prices,buy_volumes,sell_prices,sell_volumes,byIndexFlag,extra_data
20260515 09:42:56,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[228, 321, 348, 303, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[209, 842, 263, 513, 509]",50,{}
20260515 09:43:01,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[226, 321, 348, 304, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 842, 263, 513, 509]",50,{}
20260515 09:43:06,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[227, 322, 348, 304, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[205, 845, 264, 510, 510]",50,{}
20260515 09:43:11,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[225, 323, 349, 304, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[206, 846, 264, 510, 510]",50,{}
20260515 09:43:16,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[226, 333, 349, 304, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[205, 846, 265, 514, 510]",50,{}
20260515 09:43:21,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[227, 333, 349, 304, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[205, 844, 265, 514, 510]",50,{}
20260515 09:43:26,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[229, 332, 347, 304, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[205, 845, 265, 514, 510]",50,{}
20260515 09:43:31,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[228, 333, 347, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[204, 847, 265, 514, 510]",50,{}
20260515 09:43:36,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[225, 333, 357, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[219, 834, 266, 514, 512]",50,{}
20260515 09:43:41,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[221, 332, 357, 305, 662]","[22950000, 23000000, 23050000, 23100000, 23150000]","[219, 835, 266, 515, 512]",50,{}
20260515 09:43:46,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[219, 333, 357, 305, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[212, 840, 267, 512, 510]",50,{}
20260515 09:43:51,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[220, 333, 357, 310, 661]","[22950000, 23000000, 23050000, 23100000, 23150000]","[216, 849, 267, 513, 511]",50,{}
20260515 09:43:56,2330,,,,,,,,0,,,0,0,"[22900000, 22850000, 22800000, 22750000, 22700000]","[219, 332, 357, 309, 663]","[22950000, 23000000, 23050000, 23100000, 23150000]","[217, 851, 268, 515, 511]",50,{}
